city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
Makati,,,Philippines,,2020,13.0,2011,2017,,,
Adelaide,,,Australia,1175630.0,2020,35.0,2007,2017,,,Total
Ærøskøbing,,,Denmark,,,10.0,2015,2017,,,
Akureyri,,,Iceland,,2030,40.0,1990,2017,,,
Alba-Iulia,,,Romania,1935.0,2020,38.0,2008,2017,,,Other: Public Lighting - energy regeneration
Albany,,,USA,,2030,10.0,2009,2017,,,
Ann Arbor,,,USA,1681926.0,2050,90.0,2000,2017,,,Total
"Arlington, VA",,,USA,13.0,,76.0,2007,2017,,,Other: Community-wide (everything)
Aspen and Pitkin County,,,USA,,2050,80.0,2004,2017,,,
Athens,,,Greece,5069040.0,2030,40.0,2014,2017,,,Total
Atlanta,,,USA,29000.0,2020,80.0,2009,2017,,,Waste
Austin,,,USA,14050168.0,2050,100.0,2010,2017,,,Total
Baltimore,,,USA,,2020,15.0,2010,2017,,,Total
"Bellingham, WA",,,USA,,2012,7.0,2000,2017,,,
Benicia,,,USA,,2020,10.0,2000,2017,,,
Boston,,,USA,7350268.0,2050,100.0,2005,2017,,,Total
Boulder,,,USA,1949796.0,2050,80.0,2005,2017,,,Total
Bournemouth,,,United Kingdom,6.0,,30.0,2005,2017,,,Other:
Brasília,,,Brazil,5648140.0,2020,40.0,2005,2017,,,Total
"Brisbane, CA",,,USA,,2020,15.0,2005,2017,,,Total
Buenos Aires,,,Argentina,12742478.0,2030,,2008,2017,,,
Burlington,,,USA,,2020,20.0,2007,2017,,,
Calgary,,,Canada,15793731.0,2050,80.0,2005,2017,,,Total
Cambridge,,,USA,1462236.0,2050,100.0,2012,2017,,,Total
Cape Town,,,South Africa,13399.0,2022,,2012,2017,,,Wastewater
Cardiff,,,United Kingdom,2667000.0,2020,26.0,2005,2017,,,Other:
Charlotte,,,USA,,2050,100.0,"",2017,,,
"Charlottesville, VA",,,USA,,,,,2017,,,
Chicago,,,USA,32300000.0,2020,25.0,1990,2017,,,Total
Cincinnati,,,USA,9.3,2030,40.0,2006,2017,,,Total
Cleveland,,,USA,12519122.0,2050,80.0,2010,2017,,,Total
"Columbia, SC",,,USA,,2016,7.0,2006,2017,,,Total
Columbus,,,USA,240971.0,2020,20.0,2013,2017,,,Total
Copenhagen,,,Denmark,,2025,,,2017,,,Total
Hayward,,,USA,1183274.0,2020,20.0,2005,2017,,,Total
Cupertino,,,USA,307288.0,2050,83.0,2010,2017,,,Total
"Davis, CA",,,USA,,2050,100.0,2010,2017,,,
Delhi,,,India,,,,,2017,,,
Denver,,,USA,13250000.0,2050,80.0,2005,2017,,,Total
Edmonton,,,Canada,18.0,,25.0,2009,2017,,,Other:
"Emeryville, CA",,,USA,,2050,80.0,2004,2017,,,
Espoo,,,Finland,6.0,,60.0,1990,2017,,,Other:
Eugene,,,USA,1846983.0,2020,7.6,2010,2017,,,Total
"Fayetteville, AR",,,USA,1025453.0,2050,80.0,2010,2017,,,Total
Fort Collins,,,USA,2410518.0,2020,20.0,2005,2017,,,Total
Gdynia,,,Poland,,2020,20.0,1999,2017,,,Total
Greensboro,,,USA,5365412.0,2020,0.0,2007,2017,,,Total
Hamilton,,,Canada,23087326.0,2050,80.0,2006,2017,,,Total
Helsinki,,,Finland,,2020,20.0,1990,2017,,,Total
Iowa ,,,USA,,2050,80.0,2005,2017,,,Total
Johannesburg,,,South Africa,,,,,2017,,,
Knoxville,,,USA,4507885.0,2020,20.0,2005,2017,,,Total
Kuala Lumpur,,,Malaysia,25427.0,2030,70.0,2010,2017,,,Total
"La Crosse, WI",,,USA,,,,,2017,,,
Lahti,,,Finland,,2020,35.0,1990,2017,,,Total
"Lake Forest, IL",,,USA,,2015,20.0,2007,2017,,,
Lakewood,,,USA,2646240.0,2050,50.0,2007,2017,,,Total
Lancaster,,,USA,885210.0,2050,80.0,2010,2017,,,Total
Lisbon,,,Portugal,2320013.0,2030,40.0,2002,2017,,,Other:
Ljubljana,,,Slovenia,2660000.0,2020,30.0,2008,2017,,,Total
"London, ON",,,Canada,3430000.0,2050,80.0,1990,2017,,,Total
Long Beach,,,USA,,2020,10.0,2007,2017,,,Transport
Los Angeles,,,USA,45.0,,55.0,2009,2017,,,Other: total Los Angeles economy
Mannheim,,,Germany,,2020,40.0,1990,2017,,,
Medford,,,USA,465879.0,2050,100.0,2015,2017,,,Total
